id,name,city,reg,name
7484-6526,Mill Plain Road,Danbury,US,Lowell Glenn
8251-1325,Lincoln & Meridian,Miami Beach,US,Lowell Glenn
13751-64724,Hwy 29 & LaVista Rd,Tucker,US,Lowell Glenn
13889-107789,Springfield-6th & Stevenson,Springfield,US,Lowell Glenn
10829-102266,Fayette Mall,Lexington,US,Lowell Glenn
9837-97946,"Waterville, Maine",Waterville,US,Lowell Glenn
76790-108083,Target South Brunswick NJ T-2256,South Brunswick,US,Lowell Glenn
7626-33939,Spring and Varick,New York,US,Lowell Glenn
7222-594,42nd & Madison,New York,US,Lowell Glenn
23557-230825,57th & Tenth,New York,US,Lowell Glenn
23497-218704,Target Sayville T-2847,Sayville,US,Lowell Glenn
10122-96587,Hwy 59 & Wilcrest,Houston,US,Lowell Glenn
24470-238039,Angel & Lucas,Lucas,US,Lowell Glenn
19298-194304,250 and Midland,Midland,US,Lowell Glenn
24356-236868,Albertsons - Weatherford #4176,Weatherford,US,Lowell Glenn
74984-102932,Safeway - Calgary #212,Calgary,CA,David Petri
4216-43,Columbia Place - Kamloops,Kamloops,CA,David Petri
31138-104473,Senayan City 1,Jakarta,ID,David Petri
30584-98056,Tsukuba Q't,Tsukuba,JP,David Petri
31455-108700,Hamanako Service Area,Hamamatsu,JP,David Petri
24923-228265,Super Metro Colon - Cebu,Cebu City,PH,David Petri
8782-85860,Central Ave & Buena Vista,Hot Springs,US,David Petri
25584-240129,"75th Ave & Loop 101, Glendale",Glendale,US,David Petri
23560-206847,Smith Enke & SR 347,Maricopa,US,David Petri
16710-161344,DeSoto & Knapp,Chatsworth,US,David Petri
9512-95867,Whipple & Industrial,Hayward,US,David Petri
27432-247557,The Pike Outlets,Long Beach,US,David Petri
70029-106533,OAK T - 2 Gate 23,Oakland,US,David Petri
2907-93175,Antelope & Daly - Sacramento,Sacramento,US,David Petri
10815-102961,Camino Del Rio N & Mission Gorge,San Diego,US,David Petri
9256-95342,Red Hill & Edinger,Tustin,US,David Petri
7740-60999,Corbin's Corner,West Hartford,US,David Petri
75369-101180,University of North Florida Library,Jacksonville,US,David Petri
8335-211464,East Lake & Ridgemoor,Palm Harbor,US,David Petri
8760-94234,Ronald Reagan & Hwy 124,Snellville,US,David Petri
47757-242953,Kroger Suwanee #477,Suwanee,US,David Petri
10957-103358,Millennium Station - Underground,Chicago,US,David Petri
10387-100533,"Aberdeen, NC",Aberdeen,US,David Petri
492-248725,River Rd & Churchdale - Keizer,Salem,US,David Petri
7733-59359,Mall at Robinson Level 1,Pittsburgh,US,David Petri
21474-209104,Texas A&M University Resident Hall,College Station,US,David Petri
11575-102435,James Madison Square,Harrisonburg,US,David Petri
27814-245386,Petro Travel Center - Spokane,Spokane,US,David Petri
29477-251829,Meijer 275 Sussex,Pewaukee,US,David Petri
1549-108548,Safeway - Calgary #263,Calgary,CA,Russell Gaither
4789-107086,19 Mapleview Dr,Barrie,CA,Russell Gaither
25703-213566,Humber College,Toronto,CA,Russell Gaither
4296-250015,1495 Yonge & St. Clair,Toronto,CA,Russell Gaither
25359-237945,Bourque & Mi-Vallon,Sherbrooke,CA,Russell Gaither
1716-143404,Metropole Zličín,Praha,CZ,Russell Gaither
13192-95763,Saint Antoine,Paris,FR,Russell Gaither
30496-165126,VAL Oyama,Tochigi,JP,Russell Gaither
17061-160444,TOKYO SKY TREE  Soramachi Higashi 6,Sumida-ku,JP,Russell Gaither
72123-3569,Main Exchange Mall,Glendale,US,Russell Gaither
75360-99029,Davis Monthan AFB,Tucson,US,Russell Gaither
22308-215004,Lugonia & Wabash,Redlands,US,Russell Gaither
5946-33519,Gerber & Power Inn - Sacramento,Sacramento,US,Russell Gaither
24287-231369,Telegraph & Orr and Day,Santa Fe Springs,US,Russell Gaither
23832-233225,6th & H,Washington,US,Russell Gaither
11042-103946,Coastland Center,Naples,US,Russell Gaither
28529-249929,Teavana - Belden Village,Canton,US,Russell Gaither
6471-61779,Broadway & Rice,Tyler,US,Russell Gaither
47854-260060,Epsom - Ashley Centre,Epsom,GB,Phyllis Wing
24079-235589,Mahon Point,Cork,IE,Phyllis Wing
30229-45339,Koriyama MOLTI,Koriyama,JP,Phyllis Wing
28751-250945,Madero II,Mexico,MX,Phyllis Wing
33228-24228,Jupiter St.,Makati City,PH,Phyllis Wing
20404-205424,Nevsky 55,Saint Petersburg,RU,Phyllis Wing
8745-94406,"Speedway & Wilmot, Tucson",Tucson,US,Phyllis Wing
14277-109964,"Hwy 111 & Jefferson, La Quinta",La Quinta,US,Phyllis Wing
6817-83249,Hwy 152 & Hwy 165 - Los Banos,Los Banos,US,Phyllis Wing
6986-72684,Jefferson & Lake Washington,West Sacramento,US,Phyllis Wing
3857-141555,Target Lisbon T-2433,Lisbon,US,Phyllis Wing
2581-33399,116th & Allisonville,Fishers,US,Phyllis Wing
2972-92906,Hillsdale,Hillsdale,US,Phyllis Wing
76580-100173,Target Big Flats T-2158,Big Flats,US,Phyllis Wing
7255-694,8th & 16th,New York,US,Phyllis Wing
16255-162586,3rd St & First Avenue,New York,US,Phyllis Wing
767-609,Suburban Square,Ardmore,US,Phyllis Wing
18280-147686,Clemson University,Clemson,US,Phyllis Wing
75119-60419,U of TN/Knoxville - Library,Knoxville,US,Phyllis Wing
7819-166144,North Military Highway & Raby Road,Norfolk,US,Phyllis Wing
22161-204484,102nd Ave SE & S 240th St- Kent,Kent,US,Phyllis Wing
74913-100330,Safeway - Spokane #342,Spokane,US,Phyllis Wing
18751-188904,Dubai Airport Concourse 3,Dubai,AE,Juan Renwick
79539-97379,Safeway-Richmond #191,Richmond,CA,Juan Renwick
27568-246879,Hotel Le Crystal,Montreal,CA,Juan Renwick
30392-74801,Marunouchi Bldg.,Chiyoda-ku,JP,Juan Renwick
21220-210284,SOHO KL,Kuala Lumpur,MY,Juan Renwick
31964-122484,Schiphol Airport Arrivals 4,Schiphol,NL,Juan Renwick
24427-237908,UAB Hospital,Birmingham,US,Juan Renwick
10539-98366,"Val Vista & Southern, Mesa",Mesa,US,Juan Renwick
29429-253366,Alameda and Federal,Denver,US,Juan Renwick
79344-96655,King Soopers-Lakewood #127,Lakewood,US,Juan Renwick
8505-202285,7720 W Commercial Blvd,Lauderhill,US,Juan Renwick
17897-182671,Ingles Forest City - #27,Forest City,US,Juan Renwick
21895-215765,Target Bronx T-2811,Bronx,US,Juan Renwick
10786-102047,Bowling Green - E Wooster St,Bowling Green,US,Juan Renwick
74309-79100,Safeway-Hood River #1123,Hood River,US,Juan Renwick
3251-1895,N. 30th & McCarver/Old Town,Tacoma,US,Juan Renwick
19944-202505,UADE II,Buenos Aires,AR,Santos Lopez
4451-83460,433 Seymour Street,Vancouver,CA,Santos Lopez
3758-145906,Preston - Ribby Hall Village,Lancashire,GB,Santos Lopez
12286-60079,Strand,London,GB,Santos Lopez
3824-153525,Inverness - Inverness RP - New Look,Inverness,GB,Santos Lopez
19118-186464,GRAND FRONT OSAKA,Osaka,JP,Santos Lopez
26556-244506,Parque Toreo II,Mexico,MX,Santos Lopez
32291-135364,3 Two Square,Petaling Jaya,MY,Santos Lopez
33749-96437,SFX Ladprao,Chatuchak,TH,Santos Lopez
8108-95570,"Sommerville & Perrin, Fresno",Fresno,US,Santos Lopez
74586-39039,Vons-Los Angeles #2229,Los Angeles,US,Santos Lopez
7935-95328,"Frazee & Friars, San Diego",San Diego,US,Santos Lopez
5734-8710,Ventura  Vineland,Studio City,US,Santos Lopez
75368-102413,University of Florida Library,Gainesville,US,Santos Lopez
20846-195124,Hwy 98 & Grand Blvd,Miramar Beach,US,Santos Lopez
75453-107452,Schofield Barracks Main Store Mall,Schofield Barracks,US,Santos Lopez
75461-103858,Compass @ St Alexius MC,Hoffman Estates,US,Santos Lopez
28666-250117,Teavana - Apache Mall,Rochester,US,Santos Lopez
27558-246784,Wake Forest Unv Bap Med - Winst-Sal,Winston-Salem,US,Santos Lopez
16421-157664,North Babylon,North Babylon,US,Santos Lopez
10519-100532,E 35th & Peoria,Tulsa,US,Santos Lopez
10914-103149,3512 West Chester Pike Newtown Sq,Newtown Square,US,Santos Lopez
6361-227965,Frankford & 190,Dallas,US,Santos Lopez
79774-139752,Safeway - Ephrata  #1544,Ephrata,US,Santos Lopez
79598-97470,Safeway-Silver Firs #2645,Everett,US,Santos Lopez
74408-87986,Safeway-Tacoma #1437,Tacoma,US,Santos Lopez
26841-245829,Usaquén,Bogota D.C.,CO,Cassandra Soden
12509-94369,Queens Park,London,GB,Cassandra Soden
30701-100744,Soka VARIE,Soka,JP,Cassandra Soden
30150-30522,AEON MALL Okazaki,Okazaki,JP,Cassandra Soden
47303-255586,Aeon Mall,Phnom Penh,KH,Cassandra Soden
15457-161645,CUN - Cancun Intl T2- Ext Satellite,Cancun,MX,Cassandra Soden
29537-245930,5a Av Playa del Carmen,Playa del Carmen,MX,Cassandra Soden
32422-119586,Lomas,San Luis Potosi,MX,Cassandra Soden
33222-16855,Puerta de Isabel II-Intramuros,Manila,PH,Cassandra Soden
33452-98303,Xin Zhong,New Taipei City,TW,Cassandra Soden
5225-391,Metro Center Foster City,Foster City,US,Cassandra Soden
10111-99529,East Ave S & 47th St East,Palmdale,US,Cassandra Soden
518-462,Silver Spur & Hawthorne,Rolling Hills Estates,US,Cassandra Soden
10001-99525,Tully & King,San Jose,US,Cassandra Soden
22895-223904,Kroger - Fort Wayne #972,Fort Wayne,US,Cassandra Soden
2474-19519,Twelve Oaks Mall,Novi,US,Cassandra Soden
7936-95790,"Arlington Square, Route 44",Poughkeepsie,US,Cassandra Soden
9846-98601,West Babylon,West Babylon,US,Cassandra Soden
76841-111529,Target Columbus Far SW T-2358,Columbus,US,Cassandra Soden
70338-132825,Safeway-Portland #2790,Portland,US,Cassandra Soden
14501-114145,FM 1764 & Hwy 146,Texas City,US,Cassandra Soden
28213-250106,Teavana - Fashion Centre Pentagon,Arlington,US,Cassandra Soden
7410-1537,Manassas,Manassas,US,Cassandra Soden
74777-97827,Safeway-Spokane #1242,Spokane,US,Cassandra Soden
26504-241157,Almacenes Paris,Santiago,CL,Courtney Bradshaw
12227-41519,Barnet High Street,Barnet,GB,Courtney Bradshaw
24732-238864,Lucan Shopping Centre,Lucan,IE,Courtney Bradshaw
18705-194297,Dawson Street,Dublin,IE,Courtney Bradshaw
18213-188744,Suria Sabah,Kota Kinabalu,MY,Courtney Bradshaw
21580-210115,Ferdinand Bolstraat 45,Amsterdam,NL,Courtney Bradshaw
33385-71020,Mackay,Taipei City,TW,Courtney Bradshaw
33416-93417,Gang Qian,Taipei City,TW,Courtney Bradshaw
15315-158945,Henan Qinghai,Taichung City,TW,Courtney Bradshaw
10260-99460,"Alpine & South Grade, Alpine",Alpine,US,Courtney Bradshaw
8660-72437,Appian & Valley View - El Sobrante,El Sobrante,US,Courtney Bradshaw
74908-101860,Safeway - Elk Grove #1289,Elk Grove,US,Courtney Bradshaw
5861-29276,Rinaldi & Corbin,Northridge,US,Courtney Bradshaw
76213-88890,Target Pinole T-737,Pinole,US,Courtney Bradshaw
6576-15934,Beach & Chapman,Stanton,US,Courtney Bradshaw
72580-103739,Kroger - Jefferson #638,Jefferson,US,Courtney Bradshaw
15410-156746,Target Lemont T-1213,Lemont,US,Courtney Bradshaw
7432-2586,East Setauket,Setauket,US,Courtney Bradshaw
19578-129149,"Kroger-Cincinnati, OH #418",Cincinnati,US,Courtney Bradshaw
7937-94760,Harrisburg Brindle Road,Harrisburg,US,Courtney Bradshaw
74563-76060,Giant 6518 @ Roslyn,Roslyn,US,Courtney Bradshaw
2917-83861,Saluda Ave-Harden St-Greene St,Columbia,US,Courtney Bradshaw
76852-110745,Target Waynesboro T-2294,Waynesboro,US,Courtney Bradshaw
3269-2645,Main & Post,Spokane,US,Courtney Bradshaw
3635-146029,Renaissance Seaport Marketplace,Oranjestad,AW,Pamela Mayfield
15158-240092,Plaza Niteroi Relo,Niteroi,BR,Pamela Mayfield
18328-189824,Jundiai Shopping,Sao Paulo,BR,Pamela Mayfield
17113-113925,Shops at NewWest,New Westminster,CA,Pamela Mayfield
15211-157710,Village Nottingham,Nottingham,GB,Pamela Mayfield
26112-243608,Stratford upon Avon - High Street,Stratford upon Avon,GB,Pamela Mayfield
21425-212586,Medan Train Station Railink,Medan,ID,Pamela Mayfield
38602-93167,Jockey Plaza,Lima,PE,Pamela Mayfield
30810-150084,# 10 Congressional Ave,Quezon City,PH,Pamela Mayfield
3478-92800,Hwy 280 & Hwy 119,Birmingham,US,Pamela Mayfield
5578-1516,Carson & Long Beach Towne Center Dr,Long Beach,US,Pamela Mayfield
74348-82460,Safeway-Erie #1667,Erie,US,Pamela Mayfield
8866-95192,Red Rd & NW 176th St,Miami,US,Pamela Mayfield
8629-91462,1st St & Central Ave,Sarasota,US,Pamela Mayfield
847-591,6th & Waverly (Waverly Place),New York,US,Pamela Mayfield
76560-96841,Target Keizer T-2110,Keizer,US,Pamela Mayfield
79310-102567,Kroger - Carrollton #460,Carrollton,US,Pamela Mayfield
21543-164867,281 & Trenton,Edinburg,US,Pamela Mayfield
10527-87880,I-10 & Durham,Houston,US,Pamela Mayfield
79370-100962,Kroger-Missouri City #334,Missouri City,US,Pamela Mayfield
13275-117644,1604 & Culebra Road,San Antonio,US,Pamela Mayfield
15090-129744,Brascan Open Mall,Sao Paulo,BR,Robert Doney
18150-188192,Newmarket-A14 South Newmarket Heath,Newmarket,GB,Robert Doney
48710-264364,George's Court,Waterford,IE,Robert Doney
17351-181185,El Rosario,Mexico City,MX,Robert Doney
33933-85140,Taipan,Subang Jaya,MY,Robert Doney
18184-187884,The District - North Point Bacolod,Talisay,PH,Robert Doney
5600-1912,Bake & Trabuco,Lake Forest,US,Robert Doney
624-346,Melrose & Stanley,Los Angeles,US,Robert Doney
3462-92384,Sperry & Rogers - Patterson,Patterson,US,Robert Doney
5892-31240,Bradshaw & Old Placerville,Sacramento,US,Robert Doney
16005-162927,Target San Diego T-305,San Diego,US,Robert Doney
47471-256465,3rd & Evans,San Francisco,US,Robert Doney
74887-99591,Vons - Tujunga #2124,Tujunga,US,Robert Doney
1301-150415,Vail Resorts - Vail Village,Vail,US,Robert Doney
23514-230844,North Monroe & Fred George,Tallahassee,US,Robert Doney
2762-87840,Pawnee & Seneca,Wichita,US,Robert Doney
75768-93563,Seelbach Hilton,Louisville,US,Robert Doney
7364-1204,"Mass. Ave., Arlington",Arlington,US,Robert Doney
73708-104729,Stop & Shop-Forest Hills #539,Forest Hills,US,Robert Doney
75917-104380,PDX D 4,Portland,US,Robert Doney
76292-90929,Target Greer T-1937,Taylors,US,Robert Doney
6302-1882,Galleria North,Dallas,US,Robert Doney
74223-53819,Safeway-Burke #4002,Burke,US,Robert Doney
3347-9592,3rd & Madison,Seattle,US,Robert Doney
75973-92562,Westin Bayshore,Vancouver,CA,Donald Newland
131-18,Granville & 2nd,Vancouver,CA,Donald Newland
31291-105885,Factory,Madrid,ES,Donald Newland
1578-137812,Sampoerna Strategic Square,Jakarta,ID,Donald Newland
30120-13533,BEANS Akabane,Kita-ku,JP,Donald Newland
26866-245932,EKI MARCH SHIN-OSAKA,Osaka,JP,Donald Newland
6553-63560,Winchester & Magliocco,San Jose,US,Donald Newland
11118-104214,Augusta Exchange,Augusta,US,Donald Newland
3568-106014,Fort Knox Military Base,Fort Knox,US,Donald Newland
28355-249803,Teavana - Freehold Raceway,FREEHOLD,US,Donald Newland
23132-226725,Morristown Medical Ctr - Main Locat,Morristown,US,Donald Newland
27517-243605,Target Commack T-1387,Commack,US,Donald Newland
72731-66880,Fred Meyer-Eugene #417,Eugene,US,Donald Newland
49520-268890,Giant Hershey 6097,HERSHEY,US,Donald Newland
73319-21774,Albertsons-Clarkston #241,Clarkston,US,Donald Newland
2695-214206,New Berlin,New Berlin,US,Donald Newland
4775-103544,Cloverdale Crossing-64th & 176th,Cloverdale,CA,Joseph Levinthal
20294-204747,944 Fairville,Saint John,CA,Joseph Levinthal
28406-250705,Liverpool One - Thomas Steers Way,Liverpool,GB,Joseph Levinthal
28834-251449,"Newmarket, High Street 61",Newmarket,GB,Joseph Levinthal
20848-208626,Dumbarton - A82 Milton,Dumbarton,GB,Joseph Levinthal
18149-188371,Stillorgan Village,Dublin,IE,Joseph Levinthal
31068-103407,Magnocentro,Mexico City,MX,Joseph Levinthal
15885-165987,Den Haag Holland Spoor (HS),Den Haag,NL,Joseph Levinthal
27494-247887,Shell Zuidpunt Rijksweg A16,Dordrecht,NL,Joseph Levinthal
15057-157186,Begonias 2,Lima,PE,Joseph Levinthal
79557-106066,Safeway - Willcox #272,WILLCOX,US,Joseph Levinthal
7933-95734,Rengstorff & Middlefield,Mountain View,US,Joseph Levinthal
74684-73708,Safeway-Pleasanton #1502,Pleasanton,US,Joseph Levinthal
76509-99294,Target West Covina T-1028,West Covina,US,Joseph Levinthal
6324-9153,6th & Lincoln,Denver,US,Joseph Levinthal
28326-250055,Teavana - St Johns Town Center,Jacksonville,US,Joseph Levinthal
19873-183827,Target Goshen T-1446,Goshen,US,Joseph Levinthal
2361-8205,"E Lansing, Grand River & Charles",East Lansing,US,Joseph Levinthal
75441-106538,Western Carolina University -Center,Cullowhee,US,Joseph Levinthal
6516-59999,"Craig & Tenaya, Las Vegas",Las Vegas,US,Joseph Levinthal
72961-93011,Kroger-Athens #901,Athens,US,Joseph Levinthal
9375-96379,Loop 820 & Rufe Snow,North Richland Hills,US,Joseph Levinthal
6327-8266,Custer & Renner,Richardson,US,Joseph Levinthal
74256-51879,Safeway-Port Angeles #1492,Port Angeles,US,Joseph Levinthal
79729-125946,Safeway-Sunnyside #563,Sunnyside,US,Joseph Levinthal
23549-231166,Shamkha Mall,Abu Dhabi,AE,Linda Lentz
26539-230148,Ayacucho,Buenos Aires,AR,Linda Lentz
29393-253446,Brookdale & Rosemount Ave Cornwall,Cornwall,CA,Linda Lentz
4757-104792,2983 Westoak Trails,Oakville,CA,Linda Lentz
72946-94692,Fred Meyer-Soldotna #17,Soldotna,US,Linda Lentz
72615-22327,Super Target Trussville ST-1773,Birmingham,US,Linda Lentz
76683-102489,Target Bryant T-2204,Bryant,US,Linda Lentz
6695-66241,"Ming & Hwy 99, Bakersfield",Bakersfield,US,Linda Lentz
26039-243267,Bear & South Coast Plaza,Costa Mesa,US,Linda Lentz
6603-65000,Crown Valley & Cecil Pasture,Ladera Ranch,US,Linda Lentz
18718-179564,Ralphs Point Loma #212,San Diego,US,Linda Lentz
559-501,Agoura & Westlake,Westlake,US,Linda Lentz
15467-150413,"King Soopers-Ft. Collins, CO #99",Fort Collins,US,Linda Lentz
21050-96036,Henry St & Mamalahoa Hwy,Kailua-Kona,US,Linda Lentz
11751-104546,Western & Howard - West Rogers Park,Chicago,US,Linda Lentz
9983-99173,Virginia & Broadway,Lexington,US,Linda Lentz
78014-103019,McCamly Plaza Hotel-Battle Creek-Fo,Battle Creek,US,Linda Lentz
14453-122004,Lapeer Rd & Demille,Lapeer,US,Linda Lentz
24402-229624,Mall at Rockingham Park - Level 1,Salem,US,Linda Lentz
7874-82723,75th & Broadway,New York,US,Linda Lentz
14369-115444,"Yonkers, Bronx River Road",Yonkers,US,Linda Lentz
72459-8952,Erie Islands Travel Plaza,Clyde,US,Linda Lentz
75519-56839,Portage Travel Plaza Mantua,Mantua,US,Linda Lentz
72942-86584,Kroger-Houston #349,Houston,US,Linda Lentz
74215-35040,Safeway - Annandale #1588,Annandale,US,Linda Lentz
8895-151508,Plaza Oeste,Moron,AR,Elaine Jusino
21081-207145,Suncor Plus +15,Calgary,CA,Elaine Jusino
25083-233050,SC Chodov1,Prague,CZ,Elaine Jusino
12216-38380,Edinburgh - George St/Castle St,Edinburgh,GB,Elaine Jusino
47980-260827,Plaza Aeropuerto Mty,Monterrey,MX,Elaine Jusino
21168-210024,Starbucks,Antalya,TR,Elaine Jusino
15320-160066,Xinzhuang Zhongzheng,New Taipei City,TW,Elaine Jusino
5439-1188,Tatum & Thunderbird,Phoenix,US,Elaine Jusino
74598-87920,Vons-Nipomo #1621,Nipomo,US,Elaine Jusino
74968-102652,Vons - San Diego #2134,San Diego,US,Elaine Jusino
5891-33499,Monte Vista & Countryside,Turlock,US,Elaine Jusino
73962-136615,King Soopers-Colorado Springs #130,Colorado Springs,US,Elaine Jusino
6905-231206,38th and Kipling,Wheat Ridge,US,Elaine Jusino
8275-1577,Aventura Mall- Upstairs,Aventura,US,Elaine Jusino
29670-140451,Hilton Clearwater Resort / front re,Clearwater,US,Elaine Jusino
10636-98525,Urbana-Main & Vine,Urbana,US,Elaine Jusino
79343-103391,Harris Teeter-Burlington # 345,Burlington,US,Elaine Jusino
9886-98590,The Summit at Sierra - Reno,Reno,US,Elaine Jusino
25385-230368,"Lillys Corner, New Albany",New Albany,US,Elaine Jusino
4562-96064,City Square Mall,Vancouver,CA,Napoleon Banks
15917-156684,Bloor & Church,Toronto,CA,Napoleon Banks
31657-104436,سان ستيفانو,,EG,Napoleon Banks
23105-227804,Simonside Services-Newcastle RD DT,South Shields,GB,Napoleon Banks
30720-100921,Machida Kanamori,Machida,JP,Napoleon Banks
30605-14431,SHIBUYA TSUTAYA,Shibuya-ku,JP,Napoleon Banks
20843-199005,Pulkovo Airport T1 Landside,St Petersburg,RU,Napoleon Banks
29087-251505,Sunset & Reiff,Springdale,US,Napoleon Banks
49342-266924,Frys Peoria #657,Peoria,US,Napoleon Banks
22718-223831,Hayden & McCormick Pkwy,Scottsdale,US,Napoleon Banks
8641-93571,Quail Hill & Shady Canyon,Irvine,US,Napoleon Banks
19684-200324,The Oaks Mall,Thousand Oaks,US,Napoleon Banks
6407-40379,Bromley & Sable,Brighton,US,Napoleon Banks
48905-250893,Kroger Cartersville #629,Cartersville,US,Napoleon Banks
24099-234967,Star Market Morrissey Blvd 7587,Dorchester,US,Napoleon Banks
7953-95786,"Chesterfield, I-94 & 23 Mile Rd",Chesterfield Township,US,Napoleon Banks
23397-220084,CR 42 and Burnhaven Dr,Burnsville,US,Napoleon Banks
76736-104469,Target Minnetonka/Hopkins T-0100,Minnetonka,US,Napoleon Banks
48117-261426,1st btwn 53rd & 54th,New York,US,Napoleon Banks
75577-69580,Vermillion Valley,Amherst,US,Napoleon Banks
8503-32839,Maple Tree Place,Williston,US,Napoleon Banks
20724-208164,Cineworld Boldon,Boldon,GB,Gary Smith
24624-238387,Sunway Velocity,Kuala Lumpur,MY,Gary Smith
19702-200644,Real Plaza Centro Cívico I,Lima,PE,Gary Smith
32438-187885,SM City Clark - Kiosk,Angeles City,PH,Gary Smith
3012-137658,Zvezdochka 2 SC,Moscow,RU,Gary Smith
31249-106542,Nan Shan,Taipei City,TW,Gary Smith
25943-230605,Tucson Premium Outlets,Marana,US,Gary Smith
10936-102724,Hwy 99 & Hazel - Gridley,Gridley,US,Gary Smith
16858-129325,King Soopers-Loveland #74,Loveland,US,Gary Smith
14745-119504,"West Haven, Saw Mill Road",West Haven,US,Gary Smith
70055-131064,Bolling AFB - Commissary Mall,Bolling AFB,US,Gary Smith
8209-817,Equitable,Atlanta,US,Gary Smith
28145-250210,N. Causeway at Lakeside Mall,Metairie,US,Gary Smith
76521-99292,Target Albuquerque T-356,Albuquerque,US,Gary Smith
19252-186946,Crystals Mall at City Center - POD,Las Vegas,US,Gary Smith
7370-1274,48th & 3rd,New York,US,Gary Smith
25347-240550,Pottstown,Stowe,US,Gary Smith
79460-98027,Kroger - Cypress #362,Cypress,US,Gary Smith
8100-95201,Hillcroft & US 59,Houston,US,Gary Smith
7422-1825,Charlottesville,Charlottesville,US,Gary Smith
16763-96479,Fred Meyer-Seattle #122,Seattle,US,Gary Smith
134-200,Duncan Plaza,Duncan,CA,Thomas Grasser
21500-212044,Rancagua Centro,Rancagua,CL,Thomas Grasser
